,teacher_id,alpha_index
1206,mindinnature,a
1207,annemichikotango,a
1208,alinasworld,a
1209,agnesgoodwine,a
1210,andreabaykir,a
1211,aryanasolh,a
1212,annalegrange,a
1213,ashlynbugbee,a
1214,dia_bodyandmind,a
1215,amandaeloesh,a
1216,aceonearth,a
1217,aayar,a
1218,carebyalex,a
1219,anishamaheshwari,a
1220,alexandrataylor,a
1221,anaespinosabe,a
1222,moonvalleyyoga,a
1223,blossominglotusreiki,a
1224,thespiritualexplorer,a
1225,amiraruby,a
1226,thenativepath,a
1227,alexandrarosehealing,a
1228,annanda,a
1229,communicativemeditation,a
1230,akasharose,a
1231,angelakoolmees,a
1232,hometribeoracle,a
1233,andrefonsecaarguello,a
1234,nativhealing,a
1235,annieharvey,a
1236,alyona.pavlova,a
1237,alexyoga.tantra,a
1238,undefined,a
1239,annacusackpostpartum,a
1240,fredysa,a
1241,av2,a
1242,alyssakuzins,a
1243,pub5195008,a
1244,allison.jane,a
1245,alliegaliardo,a
1246,anitaslowig,a
1247,selfissource,a
1248,artbysurya,a
1249,shinelighttherapy,a
